class_map,axis,bin,class_code,class_name,pixel_count,area_km2,percent_of_class
phase1_all_scene,west_east,middle_east,5,demand_efficiency_watch_exploratory,3631,17.7919,35.95405485691653
phase1_all_scene,west_east,middle_west,5,demand_efficiency_watch_exploratory,2331,11.421899999999999,23.08149321715021
phase1_all_scene,west_east,west,5,demand_efficiency_watch_exploratory,2537,12.4313,25.12129913852857
phase1_all_scene,west_east,east,6,efficient_activation_support,874,4.2825999999999995,27.44113029827315
phase1_all_scene,west_east,middle_east,6,efficient_activation_support,720,3.528,22.605965463108323
phase1_all_scene,west_east,middle_west,6,efficient_activation_support,843,4.1307,26.467817896389324
phase1_all_scene,west_east,west,6,efficient_activation_support,748,3.6652,23.4850863422292
phase1_all_scene,west_east,east,7,product_disagreement_zone,577,2.8272999999999997,29.36386768447837
phase1_all_scene,west_east,middle_east,7,product_disagreement_zone,524,2.5676,26.666666666666668
phase1_all_scene,west_east,middle_west,7,product_disagreement_zone,729,3.5721,37.099236641221374
phase1_all_scene,west_east,west,7,product_disagreement_zone,135,0.6615,6.870229007633588
phase1_all_scene,west_east,east,8,high_variability_zone,3,0.0147,7.894736842105263
phase1_all_scene,west_east,middle_east,8,high_variability_zone,23,0.1127,60.526315789473685
phase1_all_scene,west_east,middle_west,8,high_variability_zone,1,0.0049,2.631578947368421
